"perfil","link_do_perfil","antivax","provax","conspiracionista","negacionista","profissao"
"drjosenasseroficial","https://www.instagram.com/drjosenasseroficia",TRUE,NA,TRUE,TRUE,"Médico neurocirurgião; Escritor"
"drdavirodrigues","https://www.instagram.com/drdavirodrigue",TRUE,NA,FALSE,TRUE,"Médico cirurgião geral"
"zeballos59","https://www.instagram.com/zeballos5",TRUE,NA,FALSE,TRUE,"Médico clínico geral"
"drajulianavarao","https://www.instagram.com/drajulianavara",TRUE,NA,TRUE,TRUE,"Médica cirurgiã dentista; Terapeuta neural"
"dramariaemiliagadelha","https://www.instagram.com/dramariaemiliagadelh",TRUE,NA,FALSE,TRUE,"Médica otorrinolaringologista"
"drcassioguimaraesdf","https://www.instagram.com/drcassioguimaraesd",TRUE,NA,FALSE,TRUE,"Médico cardiologista"
"drmarcosfalcao","https://www.instagram.com/drmarcosfalcao",TRUE,NA,TRUE,TRUE,"Médico"
"Dr Paulo Porto de Melo | Neurocirurgia - Neurologia","https://www.instagram.com/ppmelo",TRUE,NA,FALSE,TRUE,"Médico neurologista e neurocirurgião"
"allanguilherme777","https://www.instagram.com/allanguilherme77",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"zumbizando.despertando","https://www.instagram.com/zumbizando.despertand",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"carlamendesdiy","https://www.instagram.com/carlamendesdi",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital"
"drdrewpinsky","https://www.instagram.com/drdrewpinsky",TRUE,NA,FALSE,TRUE,"Médico; Apresentador"
"vprasadmdmph","https://www.instagram.com/vprasadmdmph",FALSE,NA,FALSE,FALSE,"Professor; Médico hematologista e oncologista"
"casal.infecto","https://www.instagram.com/casal.infect",FALSE,NA,FALSE,FALSE,"Médicos infectologistas"
"ethelmaciel","https://www.instagram.com/ethelmacie",FALSE,NA,FALSE,FALSE,"Professora; Médica epidemiologista; Enfermeira"
"dr.derrame","https://www.instagram.com/dr.derram",FALSE,NA,FALSE,FALSE,"Médico cirurgião geral; Professor"
"bacchi.andre","https://www.instagram.com/bacchi.andr",FALSE,NA,FALSE,FALSE,"Professor; Médico farmacologista"
"leo_costa_pbe","https://www.instagram.com/leo_costa_pb",FALSE,NA,FALSE,FALSE,"Médico fisioterapeuta"
"drluanaaraujo","https://www.instagram.com/drluanaarauj",FALSE,NA,FALSE,FALSE,"Médica"
"pediatriaintegralbr","https://www.instagram.com/pediatriaintegralbr",FALSE,NA,FALSE,FALSE,"Médico pediatra"
"dreltonjr","https://www.instagram.com/dreltonjr",FALSE,NA,FALSE,FALSE,"Deputado Estadual; Médico"
"generalpazuello.oficial","https://www.instagram.com/generalpazuello.oficial",TRUE,NA,FALSE,TRUE,"Deputado Federal; General"
"acorda.portugal","https://www.instagram.com/acorda.portugal",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"pidobiologia","https://www.instagram.com/pidobiologia",FALSE,NA,FALSE,FALSE,"Biólogo; Professor"
"sin.politicosmejor","https://www.instagram.com/sin.politicosmejo",TRUE,NA,TRUE,TRUE,"Escritor; Produtor"
"drajulianavarao","https://www.instagram.com/drajulianavara",TRUE,NA,TRUE,TRUE,"Médica cirurgiã dentista; Terapeuta neural"
"horizons_21","https://www.instagram.com/horizons_2",TRUE,NA,TRUE,TRUE,"Criador(a) de conteúdo digital"
"tocomleonardo","https://www.instagram.com/tocomleonard",TRUE,NA,FALSE,TRUE,"Vereador de maceió"
"silvinsimas","https://www.instagram.com/silvisinmas",TRUE,NA,FALSE,TRUE,"Criador(a) de conteúdo digital"
