"link_de_post","conteudo_de_post","antivax","provax","conspiracionista","negacionista","profissao"
"https://www.tiktok.com/@felipeuber5/video/7055657130409381126","O médico infectologista Marcelo Parseghian enfatiza o desconhecimento quanto os efeitos a longo prazo da vacina da Covid-19, comentando, inclusive, a possibilidade de ""alterar o RNA da espécie humana"".",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@antoniaalves.33/video/7387570203359579398","Pais sendo obrigados a dar vacina de covid ",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@the_cell_bio/video/7223617303676505349","Como funcionam as vacinas",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@bandnewsfm/video/7053089939432525062","Primeira criança vacinada no Brasil",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@kauanemoura1/video/7312533820291484933","Dar ou não dar as vacinas da covid aos filhos",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@patricialuanareis/video/7470633928383139077","Autorizei as vacinas na minha filha",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@prolavo/video/7462967970847837445","O perfil dá indícios que seja antivacina, mas o vídeo é de Evandro Roberto Baldacci, verifiquei o perfil dele. Acredito que só alguém de saúde possa dizer se o discurso dele é anti ou pró vacina: https://www.instagram.com/prof.dr.evandro.r.baldacci/",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@marluesoursao/video/7425540702680927494","Exposição das ""contra-indicações dos imunizantes de RNA"": ""DOUTOR LEANDRO ALMEIDA DI GRUPO MÉDICOS PELA VIDA EXPLICA COMO AS VACINAS RNA COVID-19 ESTIMULAM O ORGANISMO EM PERDA DE IMUNIDADES FALÊNCIA DE ÓRGÃOS""",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@almirjnior54/video/7473704058021235973","Surto de infarto e avc como possível resposta à covid-19",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@biosaude/video/6893691485468822785","As vacinas salvaram as crianças da poliomielite",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@concienciacoletiva/video/7433170733242748166","A desinformação pode colocar vidas em risco",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@rosangeladobrucki/video/7326260891463208198","É crime proibir crianças de estudar por não terem estarem vacinadas",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@opinioesdura2/video/7296879988102466822","Todos os países não obrigam a vacinação: algo macabro na obrigatoriedade brasileira",TRUE,NA,TRUE,FALSE,""
"https://www.tiktok.com/@_jessiiicaandrade/video/7051903645130018053","Vacinas da covid-19 não devem ser obrigatórias, por Jair Bolsonaro",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@jonalaisa/video/7051340576343461125","As crianças possuem 99% de índice de sobrevivência à covid-19, por isso não devem ser vacinadas",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@isabelyneves19/video/7464959082512928006","A covid está voltando",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@eu_lanaa0/video/7467981395734973701","Covid que virá depois do carnaval será a pior da história",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@ivannlima2/photo/7475290806077689093","Alto número de infectados e de mortos por covid",FALSE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@videntesdobrasil/video/7472774217881144581","Covid voltando com força na Bahia",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@luciano.melo204/video/7475506705036561669","Lula demite Nísia  e ela sai sem explicar por que não tomou a vacina",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@6g.o9/video/7475058993493200183","Por que tantas mortes por conta da vacina?",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@videntechalinegrazik/video/7195967507285495046","Uma nova vacina vai trazer problemas",FALSE,NA,TRUE,FALSE,""
"https://www.tiktok.com/@marcioespiritosanto/video/7270910014032776453","Nova variante é mais eficaz em infectar vacicnados",TRUE,NA,FALSE,TRUE,""
"https://www.tiktok.com/@sandrodossantosss/video/7475360523710647607","Não vá pro carnaval, a covid está voltando",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@maryvrfc/video/7475159357995502903","Carnaval chegando e hospital lotado",FALSE,NA,FALSE,FALSE,""
"https://www.tiktok.com/@dosesdciencia/video/7466106092523785478","Explicação quanto a eficácia das vacinas de RNA",FALSE,NA,FALSE,FALSE,""
